brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
2014 Maruti Suzuki Ritz ZXI,48K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹4.29 Lakh
2013 Hyundai i10 Sportz AT Petrol,, · Petrol, · Automatic,,,₹3.99 Lakh
2014 Hyundai Grand i10 Magna 1.1 CRDi,73K km, · Diesel, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
70 bhp
Max torque
160 nm
VIEW ALL SPECIFICATIONS",₹3.95 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto Petrol,54K km, · Petrol, · Automatic,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",,₹11.76 Lakh
2016 Maruti Suzuki Swift Dzire ZDI AMT,28K km, · Diesel, · Automatic,"Mileage (ARAI)
23.4 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.62 Lakh
2012 Skoda Rapid Ambition 1.6 MPI MT,81K km, · Petrol, · Manual,"Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
105 bhp
Max torque
153 nm
Displacement
1598 cc
VIEW ALL SPECIFICATIONS",,₹4.44 Lakh
2011 Hyundai i10 Sportz 1.2 Petrol,53K km, · Petrol, · Manual,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.8 nm
VIEW ALL SPECIFICATIONS",,₹3.21 Lakh
2019 Tata Harrier XZ,35K km, · Diesel, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",,₹16.67 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto,46K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹12.13 Lakh
2020 Honda Amaze 1.5 VX i-DTEC,30K km, · Diesel, · Manual,"Mileage (ARAI)
27.4 kmpl
Ground clearance
170 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",,₹8.69 Lakh
2015 Volkswagen Polo Highline1.2L (P),54K km, · Petrol, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.19 Lakh
2018 Honda Brio S(O)MT,47K km, · Petrol, · Manual,,"Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1198 cc
VIEW ALL SPECIFICATIONS",₹4.68 Lakh
2020 Kia Sonet HTX 1.5,29K km, · Diesel, · Manual,,"Mileage (ARAI)
24.1 kmpl
Ground clearance
205 mm
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
1493 cc
VIEW ALL SPECIFICATIONS",₹11.66 Lakh
2021 Skoda Kushaq Style 1.5L TSI MT,24K km, · Petrol, · Manual,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹16.71 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT (6 Airbags),21K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹17.49 Lakh
2021 Hyundai Alcazar Platinum (O) 6 STR 2.0 Petrol AT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
14.2 kmpl
Ground clearance
200 mm
Boot space
180 litres
Seating capacity
6 units
Fuel tank capacity
50 litres
Max power
156.82 bhp
VIEW ALL SPECIFICATIONS",,₹19.99 Lakh
2019 Nissan Kicks XV Premium Diesel,50K km, · Diesel, · Manual,,"Ground clearance
210 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108.5 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹10 Lakh
2018 Mahindra Marazzo M4 8str,48K km, · Diesel, · Manual,,"Mileage (ARAI)
17.3 kmpl
Ground clearance
200 mm
Boot space
190 litres
Seating capacity
8 units
Fuel tank capacity
45 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.99 Lakh
2019 Maruti Suzuki Ciaz Alpha 1.5 Diesel,40K km, · Diesel, · Manual,"Mileage (ARAI)
26.82 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
94 bhp
VIEW ALL SPECIFICATIONS",,₹10.75 Lakh
2016 Maruti Suzuki S-Cross Alpha 1.6,79K km, · Diesel, · Manual,"Mileage (ARAI)
22.07 kmpl
Ground clearance
180 mm
Boot space
353 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",,₹8.16 Lakh
2018 Maruti Suzuki Vitara Brezza VDi (O),39K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",₹8.70 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI,43K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹4.44 Lakh
2017 Maruti Suzuki Dzire ZXI Plus AMT,47K km, · Petrol, · Automatic,,"Mileage (ARAI)
24.12 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
Max torque
113 nm
VIEW ALL SPECIFICATIONS",₹6.88 Lakh
2021 Honda City ZX CVT,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.4 kmpl
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
Max torque
145 nm
VIEW ALL SPECIFICATIONS",₹14.28 Lakh
2020 Maruti Suzuki S-Cross Zeta 1.5,19K km, · Petrol, · Manual,,"Mileage (ARAI)
18.55 kmpl
Ground clearance
180 mm
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",₹9.40 Lakh
2022 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,6K km, · Petrol, · Manual,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹8.90 Lakh
2014 Maruti Suzuki Alto K10 VXI,35K km, · Petrol, · Manual,,"Mileage (ARAI)
20.92 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
VIEW ALL SPECIFICATIONS",₹3.01 Lakh
2013 Renault Fluence Diesel E2,98K km, · Diesel, · Manual,,"Mileage (ARAI)
20.4 kmpl
Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
67 litres
Max power
108 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹4.32 Lakh
2021 Volkswagen Taigun GT 1.5 TSI MT,7K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
188 mm
Boot space
50 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
148 bhp
VIEW ALL SPECIFICATIONS",₹14.96 Lakh
2018 Volkswagen Polo Highline Plus 1.5 (D),34K km, · Diesel, · Manual,,"Mileage (ARAI)
20.14 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
88 bhp
VIEW ALL SPECIFICATIONS",₹7.75 Lakh
2018 Maruti Suzuki Vitara Brezza ZDI PLUS AT Dual Tone,75K km, · Diesel, · Automatic,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹9.13 Lakh
2016 Maruti Suzuki Ertiga VDI,96K km, · Diesel, · Manual,,"Mileage (ARAI)
24.52 kmpl
Ground clearance
185 mm
Boot space
135 litres
Seating capacity
7 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.96 Lakh
2016 Maruti Suzuki Alto 800 LXI,53K km, · Petrol, · Manual,,"Mileage (ARAI)
22.74 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.3 bhp
VIEW ALL SPECIFICATIONS",₹3 Lakh
2017 Hyundai Fluidic Verna 4S 1.6 CRDi SX,52K km, · Diesel, · Manual,"Mileage (ARAI)
24.8 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
126 bhp
Max torque
260 nm
VIEW ALL SPECIFICATIONS",,₹8.08 Lakh
2021 Tata Harrier XZ,27K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹17.85 Lakh
2011 Nissan Micra XV Petrol,57K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
154 mm
Boot space
251 litres
Seating capacity
5 units
Fuel tank capacity
41 litres
Max power
75 bhp
VIEW ALL SPECIFICATIONS",₹3.46 Lakh
2020 Tata Altroz XZ 1.5,22K km, · Diesel, · Manual,,"Mileage (ARAI)
21.11 kmpl
Ground clearance
165 mm
Boot space
345 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.76 bhp
VIEW ALL SPECIFICATIONS",₹8.56 Lakh
2020 Honda WR-V i-DTEC VX,18K km, · Diesel, · Manual,,"Mileage (ARAI)
23.7 kmpl
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1498 cc
VIEW ALL SPECIFICATIONS",₹11.14 Lakh
2020 Hyundai New i20 Asta 1.0 Turbo IMT,13K km, · Petrol, · Manual,,"Mileage (ARAI)
20.2 kmpl
Ground clearance
170 mm
Boot space
311 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹9.19 Lakh
2017 Tata Zest XT ABS Diesel,82K km, · Diesel, · Manual,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
390 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1248 cc
VIEW ALL SPECIFICATIONS",₹5.88 Lakh
2020 Honda City ZX CVT,50K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.4 kmpl
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
Max torque
145 nm
VIEW ALL SPECIFICATIONS",₹13.10 Lakh
2021 Hyundai New Santro 1.1 Sportz MT,63K km, · Petrol, · Manual,,"Mileage (ARAI)
20.3 kmpl
Boot space
235 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68.07 bhp
Max torque
99.07 nm
VIEW ALL SPECIFICATIONS",₹4.95 Lakh
2021 Nissan Magnite XV Turbo Dual Tone,14K km, · Petrol, · Manual,,"Mileage (ARAI)
20 kmpl
Ground clearance
205 mm
Boot space
336 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹7.85 Lakh
2014 Hyundai i10 Sportz Petrol,57K km, · Petrol, · Manual,,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68 bhp
VIEW ALL SPECIFICATIONS",₹4.35 Lakh
2017 Toyota Etios VD,53K km, · Diesel, · Manual,,"Mileage (ARAI)
23.59 kmpl
Ground clearance
174 mm
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
1364 cc
VIEW ALL SPECIFICATIONS",₹8.11 Lakh
2020 Renault Kwid RXL,9K km, · Petrol, · Manual,,"Mileage (ARAI)
20.71 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
53 bhp
VIEW ALL SPECIFICATIONS",₹4.27 Lakh
2018 Maruti Suzuki S-Cross Alpha 1.3,56K km, · Diesel, · Manual,,"Mileage (ARAI)
24 kmpl
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",₹9.55 Lakh
2021 Hyundai i20 N Line N8 1.0 Turbo iMT,10K km, · Petrol, · Manual,,"Mileage (ARAI)
20.2 kmpl
Ground clearance
170 mm
Boot space
311 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹10.56 Lakh
2020 Maruti Suzuki Ciaz Alpha AT Petrol,16K km, · Petrol, · Automatic,"Mileage (ARAI)
20 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",,₹11.65 Lakh
2021 MG Motors Hector 2.0 Sharp,35K km, · Diesel, · Manual,"Mileage (ARAI)
17.41 kmpl
Ground clearance
183 mm
Boot space
587 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
167.68 bhp
VIEW ALL SPECIFICATIONS",,₹18.96 Lakh
2020 Tata Harrier XZ,47K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹15.62 Lakh
2020 Hyundai Venue SX 1.0 Turbo,30K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹9.50 Lakh
2021 Renault Kiger RXZ 1.0 Turbo MT,21K km, · Petrol, · Manual,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹8.65 Lakh
2020 Renault Kwid CLIMBER 1.0 Opt,8K km, · Petrol, · Manual,,"Mileage (ARAI)
22 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",₹4.94 Lakh
2021 Nissan Magnite XV Turbo,17K km, · Petrol, · Manual,,"Mileage (ARAI)
20 kmpl
Ground clearance
205 mm
Boot space
336 litres
Fuel tank capacity
40 litres
Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹7.57 Lakh
2019 Ford Figo Aspire Titanium Plus 1.5 TDCi,35K km, · Diesel, · Manual,"Ground clearance
174 mm
Boot space
359 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1499 cc
VIEW ALL SPECIFICATIONS",,₹7.25 Lakh
2012 Maruti Suzuki Alto K10 VXI,53K km, · Petrol, · Manual,"Mileage (ARAI)
20.92 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
VIEW ALL SPECIFICATIONS",,₹2.49 Lakh
2020 Tata Harrier XZ Plus Dual Tone,54K km, · Diesel, · Manual,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",,₹16.73 Lakh
2021 MG Motors Hector 1.5 Sharp DCT AT,23K km, · Petrol, · Automatic,,"Mileage (ARAI)
13.96 kmpl
Boot space
587 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
141 bhp
Max torque
250 nm
VIEW ALL SPECIFICATIONS",₹19.28 Lakh
2018 Maruti Suzuki Swift ZDI AMT,62K km, · Diesel, · Automatic,"Mileage (ARAI)
25.2 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.31 Lakh
2014 Maruti Suzuki Ritz ZXI,48K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹4.29 Lakh
2013 Hyundai i10 Sportz AT Petrol,, · Petrol, · Automatic,,,₹3.99 Lakh
2014 Hyundai Grand i10 Magna 1.1 CRDi,73K km, · Diesel, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
70 bhp
Max torque
160 nm
VIEW ALL SPECIFICATIONS",₹3.95 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto Petrol,54K km, · Petrol, · Automatic,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",,₹11.76 Lakh
2016 Maruti Suzuki Swift Dzire ZDI AMT,28K km, · Diesel, · Automatic,"Mileage (ARAI)
23.4 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.62 Lakh
2012 Skoda Rapid Ambition 1.6 MPI MT,81K km, · Petrol, · Manual,"Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
105 bhp
Max torque
153 nm
Displacement
1598 cc
VIEW ALL SPECIFICATIONS",,₹4.44 Lakh
2011 Hyundai i10 Sportz 1.2 Petrol,53K km, · Petrol, · Manual,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.8 nm
VIEW ALL SPECIFICATIONS",,₹3.21 Lakh
2019 Tata Harrier XZ,35K km, · Diesel, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",,₹16.67 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto,46K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹12.13 Lakh
2020 Honda Amaze 1.5 VX i-DTEC,30K km, · Diesel, · Manual,"Mileage (ARAI)
27.4 kmpl
Ground clearance
170 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",,₹8.69 Lakh
2015 Volkswagen Polo Highline1.2L (P),54K km, · Petrol, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.19 Lakh
2018 Honda Brio S(O)MT,47K km, · Petrol, · Manual,,"Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1198 cc
VIEW ALL SPECIFICATIONS",₹4.68 Lakh
2020 Kia Sonet HTX 1.5,29K km, · Diesel, · Manual,,"Mileage (ARAI)
24.1 kmpl
Ground clearance
205 mm
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
1493 cc
VIEW ALL SPECIFICATIONS",₹11.66 Lakh
2021 Skoda Kushaq Style 1.5L TSI MT,24K km, · Petrol, · Manual,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹16.71 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT (6 Airbags),21K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹17.49 Lakh
2021 Hyundai Alcazar Platinum (O) 6 STR 2.0 Petrol AT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
14.2 kmpl
Ground clearance
200 mm
Boot space
180 litres
Seating capacity
6 units
Fuel tank capacity
50 litres
Max power
156.82 bhp
VIEW ALL SPECIFICATIONS",,₹19.99 Lakh
2019 Nissan Kicks XV Premium Diesel,50K km, · Diesel, · Manual,,"Ground clearance
210 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108.5 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹10 Lakh
2018 Mahindra Marazzo M4 8str,48K km, · Diesel, · Manual,,"Mileage (ARAI)
17.3 kmpl
Ground clearance
200 mm
Boot space
190 litres
Seating capacity
8 units
Fuel tank capacity
45 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.99 Lakh
2019 Maruti Suzuki Ciaz Alpha 1.5 Diesel,40K km, · Diesel, · Manual,"Mileage (ARAI)
26.82 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
94 bhp
VIEW ALL SPECIFICATIONS",,₹10.75 Lakh
2016 Maruti Suzuki S-Cross Alpha 1.6,79K km, · Diesel, · Manual,"Mileage (ARAI)
22.07 kmpl
Ground clearance
180 mm
Boot space
353 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",,₹8.16 Lakh
2018 Maruti Suzuki Vitara Brezza VDi (O),39K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",₹8.70 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI,43K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹4.44 Lakh
2017 Maruti Suzuki Dzire ZXI Plus AMT,47K km, · Petrol, · Automatic,,"Mileage (ARAI)
24.12 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
Max torque
113 nm
VIEW ALL SPECIFICATIONS",₹6.88 Lakh
2021 Honda City ZX CVT,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.4 kmpl
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
Max torque
145 nm
VIEW ALL SPECIFICATIONS",₹14.28 Lakh
2020 Maruti Suzuki S-Cross Zeta 1.5,19K km, · Petrol, · Manual,,"Mileage (ARAI)
18.55 kmpl
Ground clearance
180 mm
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",₹9.40 Lakh
2022 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,6K km, · Petrol, · Manual,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹8.90 Lakh
2014 Maruti Suzuki Alto K10 VXI,35K km, · Petrol, · Manual,,"Mileage (ARAI)
20.92 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
VIEW ALL SPECIFICATIONS",₹3.01 Lakh
2013 Renault Fluence Diesel E2,98K km, · Diesel, · Manual,,"Mileage (ARAI)
20.4 kmpl
Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
67 litres
Max power
108 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹4.32 Lakh
2021 Volkswagen Taigun GT 1.5 TSI MT,7K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
188 mm
Boot space
50 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
148 bhp
VIEW ALL SPECIFICATIONS",₹14.96 Lakh
